Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Aiden McIntyre","Athletics (A)",23,0,1,3.048386627876124,6,4,0,0,1,0,,20.2,98,14,10,7,0,18,0,3,6,1,31,"sa3007733"
"Jackson Goddard","Diamondbacks (A)",22,2,1,1.4516129032258065,7,7,0,0,0,0,,31,128,23,7,5,0,15,0,2,2,0,31,"sa3007776"
"Austin Cox","Royals (A)",22,1,3,4.8,6,6,0,0,0,0,,30,132,26,20,16,2,14,0,1,4,0,31,"sa3007777"
"Ryan Weiss","Diamondbacks (A)",22,1,2,3,7,7,0,0,0,0,,33,140,35,15,11,2,6,0,1,1,0,25,"sa3007778"
"Trenton Toplikar","Giants (A+)",23,1,1,3.75,6,5,0,0,0,0,,24,103,21,13,10,1,9,1,3,2,0,24,"sa3007803"
"Nick Bush","Rockies (A)",22,1,3,6.75,6,5,0,0,0,0,,28,126,36,22,21,7,8,0,2,0,1,24,"sa3007838"
"Drew Rom","Orioles (A)",19,1,0,2.531250377185699,5,3,0,0,0,1,,21.1,91,23,8,6,0,7,0,0,1,0,30,"sa3007848"
"Tyler McKay","Phillies (A)",21,1,2,7.0819683203100485,7,4,0,0,0,2,,20.1,94,24,17,16,3,10,0,2,4,0,18,"sa3007851"
"Dominic Pipkin","Phillies (A)",19,1,1,4.42623020019378,6,3,0,0,0,0,,20.1,91,21,14,10,2,10,0,1,1,0,17,"sa3007896"
"Tim Cate","Nationals (A)",21,2,2,1.6200002471924206,6,6,0,0,0,0,,33.1,129,19,11,6,2,11,0,0,2,0,39,"sa3007926"
"Caleb Sampen","Rays (A)",22,2,1,3.7594941247256948,5,5,0,0,0,0,,26.1,105,17,11,11,1,10,0,0,2,1,30,"sa3007965"
"Sean Hjelle","Giants (A)",22,1,2,2.8421049778481557,7,7,0,0,0,0,,31.2,133,31,13,10,3,7,0,0,3,0,36,"sa3007989"
"Stephen Kolek","Dodgers (A)",22,1,2,5.576086378503221,7,7,0,0,0,0,,30.2,145,35,23,19,0,20,1,0,4,0,22,"sa3007990"
"Josh Winder","Twins (A)",22,1,1,2.454545720549683,5,5,1,0,0,0,,29.1,113,21,8,8,1,8,0,0,1,0,29,"sa3007993"
"Brett Conine","Astros (A)",22,3,2,1.9090909090909092,6,5,0,0,0,0,,33,123,19,8,7,3,6,0,0,1,0,40,"sa3008024"
"Paul Richan","Cubs (A+)",22,3,2,3.6404490481120497,6,6,0,0,0,0,,29.2,126,33,13,12,0,9,0,0,0,0,23,"sa3008025"
"Chris Vallimont","Marlins (A)",22,1,2,2.7835055925043783,6,6,0,0,0,0,,32.1,126,24,12,10,2,9,0,0,3,0,39,"sa3008026"
"Cam Sanders","Cubs (A)",22,2,0,2.4827586206896552,6,5,0,0,0,0,,29,125,23,11,8,1,18,0,1,3,0,20,"sa3008067"
"Tommy Wilson","Mets (A+)",23,3,2,2.479591450657521,6,6,0,0,0,0,,32.2,134,29,11,9,1,10,0,0,1,0,25,"sa3008072"
"Benjamin Onyshko","Mariners (A)",22,1,0,3.0983611401356463,10,0,0,0,0,0,,20.1,92,19,11,7,2,5,0,6,3,0,21,"sa3008096"
"Jake Bird","Rockies (A)",23,1,1,3.3750005029142653,12,0,0,0,0,1,,21.1,89,16,9,8,0,8,0,5,2,0,19,"sa3008097"
"Thad Ward","Red Sox (A)",22,1,2,3.6,6,6,0,0,0,0,,30,134,26,15,12,1,16,0,3,1,0,37,"sa3008098"
"Jake Wong","Giants (A)",22,2,1,2.1976741748993702,6,6,0,0,0,0,,28.2,110,17,9,7,2,6,0,1,1,0,24,"sa3008100"
"Kris Bubic","Royals (A)",21,3,0,1.6875,6,6,0,0,0,0,,32,119,16,8,6,1,7,0,0,1,0,51,"sa3008128"
"Grayson Rodriguez","Orioles (A)",19,3,0,0.8852460400387561,4,4,0,0,0,0,,20.1,78,12,3,2,1,7,0,0,1,0,33,"sa3008130"
"Bryan Warzek","Dodgers (A+)",22,1,2,5.571428571428571,6,6,0,0,0,0,,21,105,20,13,13,2,23,0,2,2,2,26,"sa3008165"
