Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Travis Herrin","Angels (A+)",24,1,1,2.5714285714285716,5,4,0,0,0,0,,21,83,15,7,6,0,11,0,1,5,0,21,"sa875780"
"Ljay Newsome","Mariners (A+)",22,4,2,2.4957979993037376,7,7,0,0,0,0,,39.2,154,33,13,11,4,4,0,0,1,0,59,"sa875837"
"Xavier Altamirano","Athletics (A+)",24,1,2,5.8295460863054975,6,6,0,0,0,0,,29.1,130,33,19,19,9,13,1,0,2,0,25,"sa875865"
"Franklyn Soriano","Diamondbacks (A)",23,2,1,3.9193542358407303,7,5,0,0,0,0,,20.2,92,13,11,9,1,15,0,2,1,0,16,"sa875873"
"Riley Smith","Diamondbacks (AA)",24,1,3,2.6213596116385762,6,6,0,0,0,0,,34.1,138,29,11,10,2,9,0,1,2,1,26,"sa876070"
"Fitz Stadler","Blue Jays (A)",22,1,3,5.478260869565218,6,3,0,0,0,0,,23,101,24,18,14,1,11,0,0,1,0,16,"sa876081"
"Tyler Watson","Twins (A+)",22,1,3,5.062499396503044,5,5,0,0,0,0,,26.2,112,28,15,15,1,7,0,0,6,0,24,"sa876164"
"Daniel Tillo","Royals (A+)",23,3,2,5.288660625758319,6,6,1,1,0,0,,32.1,140,31,21,19,2,10,0,4,2,0,12,"sa876284"
"Riley Thompson","Cubs (A)",22,2,1,1.5,5,5,0,0,0,0,,24,97,21,9,4,0,7,0,0,1,0,24,"sa876287"
"Blake Rogers","Padres (AA)",25,1,0,5.85,12,0,0,0,2,0,,20,86,18,13,13,2,8,0,2,5,0,21,"sa876290"
"Adam Hill","Brewers (A)",22,3,2,3.6219516407514947,6,5,0,0,0,0,,27.1,112,22,12,11,2,12,0,0,1,0,28,"sa876313"
"Michael Gibbons","Mets (AA)",26,3,3,2.7835055925043783,6,6,0,0,0,0,,32.1,133,28,11,10,3,11,1,2,3,0,37,"sa876538"
"Yoanys Quiala","- - -",25,0,2,4.432836451863026,5,4,0,0,0,0,,22.1,97,24,11,11,3,11,0,0,1,0,20,"sa876861"
"Jhon De Jesus","Reds (A)",22,1,2,4.333333333333333,6,6,0,0,0,0,,27,112,21,13,13,4,14,0,0,4,0,21,"sa877525"
"Odalvi Javier","Braves (A)",22,0,2,6.2876720543001845,6,6,0,0,0,0,,24.1,115,28,18,17,5,14,0,1,1,0,27,"sa877574"
"Alan Rangel","Braves (A)",21,2,1,6,8,4,0,0,0,0,,27,117,33,20,18,4,9,0,0,2,0,31,"sa877578"
"Luis Gil","Yankees (A)",21,1,1,1.2272727272727273,5,5,0,0,0,0,,22,90,9,4,3,0,15,0,0,2,0,35,"sa877821"
"Jose Hernandez-Urquidy","Astros (AA)",24,1,2,4.5,6,5,0,0,0,0,,28,116,26,17,14,2,5,0,0,1,1,34,"sa879512"
"Jasseel De La Cruz","- - -",22,1,2,2.4,6,6,1,0,0,0,,30,119,24,8,8,1,8,0,1,5,0,37,"sa879559"
"Reiver Sanmartin","Reds (A+)",23,1,2,5.029411764705882,7,7,0,0,0,0,,34,146,42,20,19,4,4,0,1,1,0,35,"sa880982"
"Antonio Santos","Rockies (A+)",22,1,2,4.308511075416633,6,6,0,0,0,0,,31.1,138,39,16,15,4,4,0,2,0,0,29,"sa881171"
"Matt Milburn","Athletics (AA)",25,1,1,4.320000659179788,6,6,1,0,0,0,,33.1,137,35,17,16,6,10,0,0,1,0,16,"sa913084"
"Packy Naughton","Reds (A+)",23,2,2,2.55789448006334,6,6,0,0,0,0,,31.2,134,34,10,9,0,7,0,1,1,0,33,"sa913120"
"Noah Bremer","Rangers (A+)",23,1,0,3.578312841862042,5,5,0,0,0,0,,27.2,109,22,11,11,1,9,0,3,0,0,27,"sa915571"
"Christian Taugner","Brewers (A+)",24,1,4,7.714286765273879,5,5,0,0,0,0,,23.1,107,30,23,20,4,8,0,1,1,0,12,"sa915601"
"Kade McClure","White Sox (A)",23,1,1,3.4838709677419355,6,6,0,0,0,0,,31,135,35,17,12,1,7,0,1,3,0,30,"sa915622"
"Brian Shaffer","Rays (A+)",22,0,0,2.4,8,3,0,0,0,0,,30,121,24,12,8,3,5,0,3,1,0,24,"sa915633"
"Zac Lowther","Orioles (AA)",23,2,3,2.7303367860840373,6,6,0,0,0,0,,29.2,120,21,10,9,2,16,0,0,2,0,24,"sa915645"
"Tom Cosgrove","Padres (A+)",23,1,4,6.206896551724138,6,6,0,0,0,0,,29,136,40,25,20,5,12,0,1,3,0,26,"sa915675"
"Corbin Martin","Astros (AAA)",23,1,1,1.4794522480706316,5,4,0,0,0,0,,24.1,94,14,4,4,1,11,0,1,0,0,28,"sa915704"
"Dane Myers","Tigers (A+)",23,1,3,6.096773255752248,5,4,0,0,0,0,,20.2,98,22,15,14,1,11,0,3,2,0,20,"sa915708"
"Jeffrey Passantino","Cubs (A)",23,2,0,2.177419019911517,7,0,0,0,0,0,,20.2,80,17,5,5,2,3,0,1,1,0,27,"sa915726"
"Shane McCarthy","Indians (A)",22,3,2,3.09375,6,6,0,0,0,0,,32,127,20,14,11,1,12,0,1,1,0,36,"sa915740"
"Charlie Barnes","Twins (A+)",23,2,2,7.985914420287116,5,5,0,0,0,0,,23.2,115,32,21,21,1,16,0,2,2,0,22,"sa915788"
"Brandon Bielak","Astros (AA)",23,2,0,4.68,6,4,0,0,0,0,,25,107,22,13,13,3,12,0,1,3,0,22,"sa915815"
"Sean Guenther","Marlins (A)",23,1,1,1.35,8,0,0,0,0,0,,20,85,17,4,3,1,6,0,0,2,0,15,"sa915817"
"Zach Logue","Blue Jays (AA)",23,2,2,3.9705882352941178,6,6,0,0,0,0,,34,144,36,16,15,4,8,0,2,3,0,26,"sa915822"
"Eli Morgan","Indians (A+)",23,3,1,1.8712868460042449,6,6,0,0,0,0,,33.2,122,19,7,7,3,5,0,1,0,0,40,"sa915827"
"Wills Montgomerie","Dodgers (A+)",24,2,0,2.076923076923077,6,1,0,0,0,0,,26,105,11,6,6,1,17,0,1,1,2,38,"sa915861"
"Jose Soriano","Angels (A)",20,2,2,2.131579214846362,6,5,0,0,0,0,,25.1,109,21,9,6,1,17,0,1,5,0,23,"sa916702"
"Deivi Garcia","- - -",20,1,3,3.3749995976686957,6,6,0,0,0,0,,26.2,116,22,14,10,1,16,0,1,2,1,49,"sa916944"
"Luis Rijo","Twins (A)",20,0,3,4.049999517202435,5,5,0,0,0,0,,26.2,115,27,17,12,3,7,0,2,0,0,21,"sa916950"
"Matt Solter","Indians (AA)",26,1,0,3.506493072200989,5,5,0,0,0,0,,25.2,107,20,10,10,0,10,0,3,2,0,26,"sa917121"
"Maximo Castillo","Blue Jays (A+)",20,1,3,2.9347823044753794,6,6,0,0,0,0,,30.2,120,25,13,10,2,5,0,0,0,0,28,"sa917181"
"Hector Yan","Angels (A)",20,0,1,4.5,6,3,0,0,0,0,,22,101,19,11,11,1,17,0,3,3,2,31,"sa917194"
"Jose Chacin","Dodgers (A)",22,4,0,1.626505837210019,6,2,0,0,1,0,,27.2,109,26,5,5,2,5,0,0,1,0,23,"sa917323"
"Luis Oviedo","Indians (A)",20,4,2,3.7241379310344827,7,7,0,0,0,0,,29,125,24,13,12,1,14,0,3,2,0,26,"sa917344"
"Juan Mota","Indians (A)",23,1,4,5.965115617584005,6,6,0,0,0,0,,28.2,130,28,21,19,4,18,0,2,1,0,34,"sa917387"
"Melvi Acosta","Twins (A+)",24,2,0,3.075949738411932,7,1,0,0,0,0,,26.1,111,27,12,9,3,9,0,2,3,0,24,"sa917401"
"George Soriano","Marlins (A)",20,0,2,5.641791847825669,6,5,0,0,1,0,,22.1,101,19,17,14,5,14,0,1,3,0,21,"sa917493"
"Faustino Carrera","Cubs (A)",20,2,2,3.5735289105907735,5,4,0,0,0,1,,22.2,96,20,12,9,6,10,0,0,4,0,25,"sa917740"
"Willy Taveras","Mets (A)",21,2,3,3.9036140093040457,6,2,0,0,0,0,,27.2,116,28,13,12,5,9,1,0,0,1,25,"sa917753"
"Briam Campusano","Mets (A+)",23,1,1,2.4923073266385405,8,1,0,0,1,0,,21.2,85,13,6,6,2,5,0,3,0,0,19,"sa917756"
"Bryan Mata","Red Sox (A+)",20,1,1,2.147727505480973,6,6,0,0,0,0,,29.1,128,20,12,7,1,11,0,6,3,0,31,"sa917784"
"Andres Sotillet","Royals (AA)",22,1,1,5.4,6,4,0,0,0,1,,25,111,25,19,15,3,14,0,2,3,0,14,"sa917861"
"Humberto Castellanos","Astros (A)",21,1,0,3.6818181818181817,7,0,0,0,2,1,,22,95,23,11,9,3,4,0,1,2,2,28,"sa917878"
"Jeronimo Castro","Dodgers (A)",22,1,3,4.207791686641187,6,6,0,0,0,0,,25.2,112,23,12,12,2,13,0,1,3,1,31,"sa917880"
"Angel Acevedo","Padres (A)",20,0,4,5.641791847825669,6,4,0,0,0,0,,22.1,104,26,21,14,3,7,0,3,4,0,21,"sa917893"
"Angel Rondon","Cardinals (A+)",21,3,1,2.2040812894733524,6,6,0,0,0,0,,32.2,132,17,8,8,2,16,0,2,2,0,37,"sa917908"
"Ian Anderson","Braves (AA)",21,2,1,2.793103448275862,6,6,0,0,0,0,,29,124,19,11,9,2,18,1,0,5,0,37,"sa917921"
"Braxton Garrett","Marlins (A+)",21,0,2,3.9130434782608696,5,5,0,0,0,0,,23,99,18,12,10,1,11,0,0,4,1,33,"sa917923"
"Matt Manning","Tigers (AA)",21,3,1,2.271027713522123,6,6,0,0,0,0,,35.2,131,17,9,9,1,8,0,1,0,0,50,"sa917924"
"Kyle Muller","Braves (AA)",21,0,1,2.769230769230769,6,6,0,0,0,0,,26,112,15,8,8,1,24,0,2,5,0,28,"sa917931"
"Joey Wentz","Braves (AA)",21,1,1,3.9,6,6,0,0,0,0,,30,129,26,15,13,4,14,0,1,3,0,25,"sa917946"
"Mitchell White","Dodgers (AA)",24,1,0,1.8493153100882895,6,6,0,0,0,0,,24.1,93,13,5,5,1,6,0,1,2,0,30,"sa917948"
"Reggie Lawson","Padres (AA)",21,3,1,4.764705214121031,5,5,0,0,0,0,,22.2,98,21,12,12,3,11,0,0,3,0,31,"sa917951"
"JoJo Romero","Phillies (AAA)",22,2,1,9,6,6,0,0,0,0,,24,123,37,27,24,3,15,1,2,1,0,21,"sa917955"
"Easton McGee","Rays (A)",21,3,0,2.147727505480973,7,5,0,0,0,0,,29.1,114,23,7,7,2,6,0,0,1,0,25,"sa917971"
"Brenan Hanifee","Orioles (A+)",21,2,2,5.464285714285714,6,6,0,0,0,0,,28,123,28,18,17,3,18,0,2,3,0,16,"sa917973"
"Jace Vines","Royals (AA)",24,1,3,3.7124995574355655,6,5,0,0,0,1,,26.2,121,27,22,11,2,13,0,4,5,1,23,"sa917985"
"Jeremy Walker","Braves (AA)",24,1,3,2.6129032258064515,6,0,0,0,0,0,,31,128,31,14,9,1,2,0,0,0,0,26,"sa917990"
"Dustin May","Dodgers (AA)",21,2,2,3.253011674420038,6,6,0,0,0,0,,27.2,117,21,14,10,1,9,0,4,3,0,33,"sa917992"
"Lake Bachar","Padres (AA)",24,0,1,3.375,5,4,0,0,0,0,,24,103,21,13,9,2,12,0,0,4,0,24,"sa917993"
"Jimmy Lambert","White Sox (AA)",24,3,1,2.940593615149528,6,6,0,0,0,0,,33.2,138,31,11,11,5,13,0,0,2,0,39,"sa918003"
"Brailyn Marquez","Cubs (A)",20,0,0,3.15,5,5,0,0,0,0,,20,90,16,9,7,3,16,0,2,6,1,30,"sa918004"
"Jordan Balazovic","- - -",20,3,1,1.626505837210019,5,5,0,0,0,0,,27.2,104,15,7,5,1,4,0,1,0,0,43,"sa918017"
"Wilkel Hernandez","Tigers (A)",20,3,2,4.5,5,5,0,0,0,0,,24,104,26,14,12,2,8,0,0,3,1,24,"sa918026"
"Rony Garcia","- - -",21,1,2,3.2142857142857144,6,5,0,0,0,0,,28,123,28,12,10,3,13,0,1,1,0,33,"sa918036"
"Tobias Myers","Rays (A+)",20,1,1,3.7594941247256948,6,3,0,0,0,0,,26.1,108,25,12,11,1,11,0,1,0,0,18,"sa918088"
"Cole Duensing","Angels (A)",21,2,2,2.958904496141263,6,5,0,0,0,0,,24.1,111,20,11,8,0,21,0,1,2,0,23,"sa918090"
"Ty Culbreth","Rockies (AA)",25,3,1,3.126315475632971,6,6,0,0,0,0,,31.2,130,29,12,11,2,9,0,1,0,0,27,"sa918095"
"Kenny Rosenberg","Rays (AA)",23,2,0,2.076923076923077,6,3,0,0,0,0,,26,106,20,6,6,1,11,0,0,0,0,29,"sa918105"
"Yerry Rodriguez","Rangers (A)",21,3,1,1.3846153846153846,5,5,0,0,0,0,,26,102,19,4,4,1,8,0,2,1,0,36,"sa918130"
"Jesse Scholtens","Padres (AA)",25,1,1,6.256098288570763,6,6,0,0,0,0,,27.1,128,36,21,19,3,12,1,0,4,0,32,"sa918144"
"Caleb Baragar","- - -",25,0,1,4.285714285714286,6,5,0,0,0,0,,21,93,21,10,10,3,10,0,1,0,0,28,"sa918160"
"Ryan Hartman","Astros (AAA)",25,4,0,3.857142857142857,6,4,0,0,0,0,,28,114,24,12,12,3,9,0,0,1,0,24,"sa918166"
"Julian Garcia","Phillies (A+)",24,1,2,3.698630620176579,5,5,0,0,0,0,,24.1,101,25,10,10,2,8,0,0,3,0,29,"sa918182"
"Taylor Widener","Diamondbacks (AAA)",24,2,2,9.529412833877208,7,7,0,0,0,0,,28.1,140,41,30,30,8,16,0,1,3,0,25,"sa918271"
"Reggie McClain","- - -",26,0,1,1.6363636363636365,8,1,0,0,0,1,,22,81,13,4,4,2,2,0,0,4,0,25,"sa918281"
"Matt Dennis","Rockies (A+)",24,2,2,7.875,7,4,0,0,0,0,,24,118,41,22,21,5,9,0,1,2,0,23,"sa918295"
"Conner Menez","Giants (AA)",24,2,1,2.0106385018610955,6,6,0,0,0,0,,31.1,120,19,10,7,1,9,0,1,1,0,39,"sa918322"
"Carson LaRue","Astros (AA)",23,0,0,6.136363636363637,6,4,0,0,0,0,,22,92,21,15,15,4,9,0,0,0,0,24,"sa918324"
"Christian James","Mets (A)",21,0,4,6,6,5,0,0,0,0,,27,123,33,25,18,3,9,0,2,2,0,28,"sa918327"
"DJ Myers","- - -",24,1,1,3.9130434782608696,8,5,0,0,0,0,,23,101,19,11,10,1,12,1,1,2,1,32,"sa918356"
"Brian Howard","Athletics (AA)",24,3,1,1.96875,6,6,0,0,0,0,,32,133,28,8,7,1,14,0,0,1,0,24,"sa918377"
"Reid Anderson","Rangers (A+)",23,2,0,1.3499998390674783,5,5,0,0,0,0,,26.2,105,9,5,4,0,21,0,2,3,0,24,"sa918378"
"Josh Winckowski","Blue Jays (A)",21,2,1,1.8,6,6,0,0,0,0,,30,123,25,7,6,0,13,1,1,3,1,28,"sa918379"
"Tucker Davidson","Braves (AA)",23,0,1,1.5168537700466873,6,6,0,0,0,0,,29.2,123,16,7,5,0,20,0,0,0,0,32,"sa918393"
"Kyle Hart","Red Sox (AA)",26,2,4,2.59615346524848,6,6,1,0,0,0,,34.2,140,24,11,10,1,11,0,6,2,0,42,"sa918414"
"Sean Poppen","- - -",25,3,1,2.25,6,5,0,0,0,0,,24,108,19,8,6,0,17,0,3,0,0,36,"sa918427"
"Robert Dugger","Marlins (AA)",23,2,5,4.132652417762536,7,7,0,0,0,0,,32.2,136,26,17,15,3,13,0,2,1,0,30,"sa918433"
"Bowden Francis","- - -",23,1,3,6.750000731511629,6,6,0,0,0,0,,29.1,133,31,22,22,5,14,0,2,2,1,36,"sa918451"
"Matt Swarmer","Cubs (AAA)",25,3,3,4.21875,6,6,0,0,0,0,,32,135,29,16,15,6,12,1,1,0,0,33,"sa918458"
"Raymond Burgos","Indians (A)",20,2,0,2.8588238501631626,6,6,0,0,0,0,,28.1,123,31,9,9,3,9,0,0,1,2,30,"sa918469"
"Ben Braymer","Nationals (AA)",25,2,1,3.413793103448276,5,5,0,0,0,0,,29,116,21,14,11,5,8,0,0,2,0,23,"sa918477"
"Kyle Young","Phillies (A+)",21,1,3,4.285714285714286,4,4,0,0,0,0,,21,84,21,11,10,2,1,0,0,0,1,25,"sa918488"
"Bailey Ober","Twins (A+)",23,2,0,0,4,4,0,0,0,0,,24,88,18,2,0,0,3,0,1,0,0,26,"sa918555"
"Rico Garcia","Rockies (AA)",25,3,0,1.7052629867088933,6,6,0,0,0,0,,31.2,121,17,6,6,2,12,0,2,1,0,42,"sa918679"
"Matt Smith","Brewers (A+)",25,1,2,3.6818181818181817,7,1,0,0,0,0,,22,90,15,11,9,2,10,0,0,1,0,22,"sa918774"
"Chad Donato","Astros (A+)",24,3,3,5.178082868247211,6,5,0,0,0,1,,24.1,104,27,14,14,3,5,0,1,1,0,28,"sa919112"
"Max Kranick","Pirates (A+)",21,1,3,4.207791686641187,6,6,0,0,0,0,,25.2,111,22,15,12,3,8,0,1,1,0,23,"sa919118"
"Alex Wells","Orioles (AA)",22,2,1,3.048386627876124,4,4,0,0,0,0,,20.2,89,19,7,7,1,9,0,1,1,0,13,"sa919319"
"Javier Assad","Cubs (A+)",21,1,3,3.375,5,5,0,0,0,0,,24,98,24,9,9,1,7,0,2,1,0,21,"sa920249"
"Alexander Vizcaino","Yankees (A)",22,2,2,3.9078952272183303,5,5,0,0,0,0,,25.1,107,18,12,11,2,10,0,4,4,0,30,"sa920272"
"Enoli Paredes","Astros (A+)",23,1,1,2.7,5,3,0,0,0,0,,20,83,9,6,6,2,14,0,0,1,0,26,"sa920300"
"Edward Cabrera","Marlins (A+)",21,2,1,1.5,5,5,0,0,0,0,,24,90,12,4,4,1,8,0,2,0,1,33,"sa920423"
"Steven Moyers","Mariners (A)",25,2,2,4.628571428571429,6,6,0,0,0,0,,35,147,40,18,18,2,5,0,1,1,1,37,"sa920718"
"Anthony Shew","- - -",25,2,2,1.3613444287160321,7,7,0,0,0,0,,39.2,159,31,8,6,1,11,1,2,2,0,39,"sa921212"
"Edwin Uceta","Dodgers (A+)",21,2,0,1.8900002883911573,7,7,0,0,0,0,,33.1,145,33,12,7,4,11,0,1,1,0,42,"sa921576"
"Angel De Jesus","Tigers (A)",22,1,1,2.1093753143214156,8,0,0,0,2,0,,21.1,91,12,5,5,1,13,0,2,4,2,23,"sa921876"
"Yohan Ramirez","Astros (A+)",24,0,2,1.8,6,4,0,0,0,0,,25,103,12,6,5,0,13,0,2,3,3,42,"sa922200"
"Johan Oviedo","- - -",21,5,0,2.059321601169702,7,6,0,0,0,0,,39.1,168,36,11,9,1,14,0,3,3,0,38,"sa922365"
"Nivaldo Rodriguez","Astros (A)",22,3,1,1.1612903225806452,6,6,1,1,0,0,,31,119,23,6,4,2,4,0,0,3,0,39,"sa943525"
"Kenny Hernandez","Diamondbacks (A)",21,2,0,2.52,7,0,0,0,0,0,,25,109,21,8,7,1,13,0,2,1,1,22,"sa943755"
"Guillermo Zuniga","Dodgers (A)",20,1,0,4.569230098837324,6,5,0,0,1,0,,21.2,96,23,12,11,4,12,0,0,2,1,17,"sa945024"
"Vladimir Gutierrez","Reds (AAA)",23,1,3,9,6,6,0,0,0,0,,25,120,29,25,25,2,13,1,5,1,4,14,"sa952977"
