"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Emmanuel Marrero","Phillies (AA)","25","53","143","163","27","20","5","0","2","8","11","15","0","47","1","1","3","2","3","0",".189","sa829119"
"Nerio Rodriguez","Astros (R)","18","40","106","120","20","12","8","0","0","13","8","14","0","38","0","0","0","0","0","0",".189","sa3003325"
"Ivan Jimenez","Mexican (AAA)","25","55","122","136","23","20","2","0","1","15","10","9","0","38","1","0","4","4","5","2",".189","sa652169"
"Isaias Leon","Rangers (R)","18","59","186","228","35","22","9","0","4","31","27","28","1","64","9","3","0","2","6","3",".188","sa3003220"
"Luis Baez","Twins (R)","17","50","101","123","19","15","2","1","1","23","12","14","0","22","6","1","1","1","14","3",".188","sa3005747"
"Luis Rodriguez","Cardinals (R)","18","37","133","151","25","20","4","0","1","13","12","12","0","36","3","3","0","2","2","1",".188","sa3005727"
"Grant Koch","Pirates (A-)","21","40","133","158","25","20","2","1","2","10","11","22","0","35","1","2","0","3","1","0",".188","sa3008180"
"Logan Moore","Phillies (AAA)","27","75","229","264","43","32","8","0","3","21","14","29","1","62","4","1","1","2","0","0",".188","sa598265"
"Raffy Ozuna","- - -","19","38","144","164","27","19","4","4","0","25","14","18","0","74","2","0","0","4","2","0",".188","sa917133"
"Freddy Rodriguez","- - -","21","44","155","167","29","24","4","1","0","13","10","10","0","38","2","0","0","4","2","2",".187","sa830209"
"A.J. Kennedy","- - -","24","43","123","129","23","14","7","0","2","10","11","4","0","41","1","1","0","2","0","0",".187","sa876029"
"Jay Feliciano","Brewers (A)","22","69","230","255","43","27","12","0","4","26","29","20","0","62","5","0","0","12","0","1",".187","sa881295"
"Taylor Motter","- - -","28","88","321","364","60","30","17","3","10","46","35","39","1","73","2","2","0","7","7","6",".187","12399"
"Kenny Mauricio","- - -","18","34","107","124","20","17","1","1","1","14","7","16","2","22","0","1","0","1","4","3",".187","sa3003273"
"Landerson Pena","Nationals (R)","20","41","107","120","20","15","2","1","2","10","9","11","0","41","1","1","0","1","4","2",".187","sa923122"
"T.J. White","Twins (AA)","26","39","134","146","25","17","4","0","4","12","14","8","0","38","4","0","0","2","1","2",".187","sa827369"
"Patrick Hilson","Giants (R)","17","45","161","182","30","17","6","3","4","25","19","14","1","67","7","0","0","1","5","2",".186","sa3007048"
"Nolan Perez","Mariners (R)","19","44","161","177","30","20","7","2","1","17","14","11","0","58","2","3","0","1","1","1",".186","sa917802"
"Giuseppe Peguero","Phillies (R)","18","60","204","247","38","24","5","6","3","35","20","34","0","74","7","1","1","1","7","3",".186","sa3005801"
"Andy Garcia","Diamondbacks (R)","19","32","102","126","19","16","2","1","0","17","4","16","0","38","6","1","1","0","2","2",".186","sa917314"
"Jery Hernandez","Mariners (R)","17","45","145","166","27","20","5","0","2","19","14","16","0","51","1","2","2","0","4","2",".186","sa3005941"
"Ricardo Ferreira","- - -","23","55","145","171","27","19","4","3","1","28","16","21","0","55","0","2","3","3","16","7",".186","sa828126"
"Christopher Rodriguez","Marlins (R)","18","39","129","151","24","14","6","1","3","12","21","14","0","37","4","3","1","0","1","0",".186","sa3003349"
"Emmanuel Tapia","Indians (A+)","22","89","301","345","56","36","10","1","9","29","44","37","1","112","5","2","0","9","0","0",".186","sa736698"
"Jose Florian","Royals (R)","17","51","156","176","29","21","6","0","2","17","11","16","0","58","3","0","1","1","1","2",".186","sa3005796"
"Eulises Sanchez","- - -","21","53","156","199","29","16","6","6","1","27","29","36","1","51","5","1","1","2","10","5",".186","sa917113"
"Brendan Venter","- - -","21","52","183","210","34","21","8","0","5","22","31","15","1","48","5","7","0","3","1","0",".186","sa3007645"
"Cam Warner","- - -","24","48","167","191","31","19","10","1","1","17","19","17","0","48","2","3","2","2","2","0",".186","sa3004976"
"Austin Upshaw","- - -","21","111","372","411","69","50","11","2","6","27","32","24","0","76","1","5","9","7","1","1",".185","sa3004498"
"Jhoiner Rodriguez","Yankees (R)","18","33","108","123","20","14","6","0","0","13","8","10","0","34","4","0","1","4","4","0",".185","sa3006425"
"B.J. Lopez","- - -","23","60","189","215","35","31","4","0","0","20","8","19","0","53","3","1","3","4","0","0",".185","sa694185"
