"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Miguel Gomez","- - -","25","116","423","437","123","86","26","5","6","36","48","9","1","63","1","4","0","10","1","0",".291","17075"
"Jose Rodriguez","White Sox (R)","17","60","227","240","66","48","13","3","2","31","23","9","1","29","1","2","1","5","16","4",".291","sa3005788"
"Dairon Blanco","Athletics (A+)","25","82","313","346","91","67","13","10","1","39","37","25","0","66","2","5","0","9","22","2",".291","sa3005386"
"Myles Straw","- - -","23","131","516","598","150","126","17","6","1","95","31","73","0","102","4","3","2","11","70","9",".291","17620"
"Erick Aybar","Mexican (AAA)","34","43","172","196","50","39","6","2","3","40","18","16","0","10","2","2","4","5","6","2",".291","4082"
"Luis Jimenez","Mexican (AAA)","30","43","172","192","50","32","10","0","8","29","33","16","2","15","1","2","1","5","3","2",".291","6341"
"Livan Soto","Angels (R)","18","44","172","200","50","40","10","0","0","31","11","24","0","24","3","1","0","4","9","3",".291","sa3004264"
"Ji-Man Choi","- - -","27","62","203","249","59","39","13","0","7","26","37","43","0","49","0","3","0","6","1","0",".291","5452"
"Zach Sterry","Red Sox (A)","24","56","203","230","59","44","8","2","5","25","30","23","1","54","3","1","0","6","0","0",".291","sa3005054"
"Juan Hernandez","Red Sox (R)","22","37","117","140","34","25","8","0","1","25","5","16","0","18","5","0","2","3","5","1",".291","sa737365"
"Manuel Melendez","Rockies (A+)","21","119","499","542","145","111","18","11","5","76","66","25","0","81","5","4","8","8","17","16",".291","sa828329"
"Kevin Merrell","- - -","22","71","296","320","86","70","10","6","0","45","25","19","1","70","1","0","4","0","7","5",".291","sa915707"
"Austin Allen","Padres (AA)","24","119","451","498","131","78","31","0","22","59","56","37","5","97","7","3","0","13","0","3",".290","sa875025"
"Eduardo Arredondo","Mexican (AAA)","33","85","303","347","88","69","12","1","6","46","43","24","1","20","2","6","11","10","3","2",".290","sa508008"
"Jo Adell","- - -","19","99","396","441","115","59","32","4","20","83","77","32","0","111","9","3","0","7","15","3",".290","sa3004837"
"Erik Pena","- - -","18","41","124","144","36","30","2","3","1","23","21","9","0","22","7","3","1","0","4","3",".290","sa3003190"
"Jose Cordova","- - -","18","41","155","173","45","35","7","2","1","21","24","9","0","21","4","3","2","3","0","2",".290","sa3006548"
"Daniel Reyes","- - -","21","53","186","215","54","29","17","1","7","33","33","23","1","38","2","3","0","2","12","5",".290","sa3006859"
"Luis Yander La O","Rangers (AA)","26","77","286","310","83","69","9","2","3","31","43","17","1","45","3","4","0","7","6","4",".290","sa863716"
"Joshua Palacios","- - -","22","126","510","565","148","105","30","5","8","62","78","47","2","127","5","2","1","18","15","9",".290","sa829562"
"Ryan McMahon","Rockies (AAA)","23","55","224","242","65","36","15","3","11","40","48","15","0","61","2","1","0","5","3","2",".290","15112"
"Hunter Hargrove","Athletics (A)","23","126","469","525","136","99","28","0","9","59","68","37","3","61","11","6","2","13","1","0",".290","sa3004039"
"Justin Twine","- - -","22","98","338","365","98","72","13","6","7","40","52","13","1","77","8","4","2","11","13","6",".290","sa828686"
"Paul Leon","Mexican (AAA)","29","78","276","310","80","54","15","0","11","43","35","27","2","50","3","1","3","7","3","4",".290","sa546826"
"Carlos Perez","White Sox (A)","21","78","276","286","80","58","18","1","3","33","32","4","0","31","1","4","1","10","0","1",".290","sa828577"
"Juan Camacho","- - -","22","42","138","143","40","31","6","0","3","9","18","2","0","26","2","1","0","5","0","0",".290","sa877333"
"Billy Fleming","- - -","25","71","259","289","75","49","19","1","6","34","34","22","1","54","3","4","1","7","2","1",".290","sa836204"
"Daniel Vogelbach","Mariners (AAA)","25","84","297","378","86","50","16","0","20","54","60","77","3","59","1","3","0","6","0","1",".290","14130"
"Julio Carreras","- - -","18","68","228","281","66","42","11","7","6","58","31","31","0","46","12","3","7","1","16","13",".289","sa3005598"
"Brandon Howlett","- - -","18","44","152","184","44","22","16","0","6","29","27","28","1","41","2","2","0","2","1","1",".289","sa3007745"
"Travis Moniot","White Sox (R)","21","38","114","135","33","23","7","2","1","27","14","17","1","29","2","0","2","2","2","1",".289","sa876158"
"Luis Avila","- - -","19","42","152","157","44","36","5","3","0","24","16","4","0","29","0","1","0","5","9","3",".289","sa917198"
"Andy Young","- - -","24","119","432","503","125","88","13","3","21","61","58","38","1","85","27","4","2","9","4","2",".289","sa919031"
"Fraudys Jimenez","Reds (R)","19","37","121","140","35","30","2","3","0","19","12","16","0","16","2","0","1","0","10","4",".289","sa3005498"
"Walter Ibarra","Mexican (AAA)","30","95","370","413","107","76","19","5","7","54","51","28","2","78","1","4","10","10","4","2",".289","sa314143"
"Bubba Thompson","Rangers (A)","20","84","332","363","96","65","18","5","8","52","42","23","1","104","6","2","0","1","32","7",".289","sa3004140"
"Brewer Hicklen","- - -","22","104","377","425","109","66","22","3","18","70","68","28","1","124","14","4","2","6","35","6",".289","sa3004159"
"Jordan Qsar","- - -","22","62","211","263","61","32","12","3","14","41","43","50","6","80","0","2","0","2","4","1",".289","sa3007078"
"Peter Bourjos","- - -","31","68","256","278","74","48","13","9","4","36","23","17","0","54","4","1","0","3","1","2",".289","2578"
"Phillip Ervin","Reds (AAA)","25","48","173","202","50","29","12","4","5","25","38","20","1","39","5","3","1","4","10","7",".289","14738"
"Yoel Yanqui","Diamondbacks (A)","22","126","495","552","143","112","22","4","5","83","60","49","6","100","4","3","1","6","13","9",".289","sa3003437"
"Yermin Mercedes","White Sox (A+)","25","103","360","410","104","65","24","1","14","58","64","40","2","67","4","5","0","7","4","0",".289","sa597096"
"Danry Vasquez","Mexican (AAA)","24","72","270","321","78","50","17","4","7","47","35","42","2","49","3","2","4","3","6","9",".289","sa598653"
"Edwin Figuera","- - -","20","82","315","355","91","78","8","4","1","44","23","11","1","66","23","1","5","6","19","5",".289","sa872730"
"Bryan De La Cruz","- - -","21","119","419","477","121","93","22","4","2","60","62","51","3","97","3","4","0","9","10","7",".289","sa828304"
"Ernie Clement","- - -","22","102","419","471","121","91","26","2","2","72","33","41","2","35","5","2","4","10","18","10",".289","sa915732"
"Oswel Leones","Brewers (R)","17","56","187","225","54","44","7","0","3","40","16","28","0","25","4","2","4","3","12","6",".289","sa3005945"
"Jake Elmore","White Sox (AAA)","31","100","329","394","95","75","18","1","1","47","27","55","0","58","6","3","1","13","11","2",".289","7290"
"Jesus Feliz","Twins (R)","18","38","142","153","41","23","11","4","3","18","21","3","0","25","5","2","1","3","9","6",".289","sa3002624"
"Jose Rojas","- - -","25","103","381","425","110","66","24","3","17","67","71","38","1","88","3","3","0","6","10","4",".289","sa918928"
"Luis Campusano","Padres (A)","19","70","260","284","75","61","11","0","3","26","40","19","0","43","4","1","0","9","0","1",".288","sa3004041"
"C.J. Retherford","Mexican (AAA)","32","106","416","453","120","73","26","0","21","64","78","24","1","84","6","7","0","18","5","0",".288","sa393409"
"Andy Pineda","- - -","21","46","156","174","45","33","6","3","3","24","10","14","0","43","4","0","0","3","12","6",".288","sa828307"
"Patrick Wisdom","Cardinals (AAA)","26","107","371","421","107","67","24","1","15","65","61","43","1","112","3","4","0","4","11","2",".288","13602"
"Christian Colon","- - -","29","98","319","368","92","63","22","1","6","47","41","40","1","38","7","1","1","9","12","5",".288","11145"
"Lane Milligan","- - -","23","42","163","183","47","31","11","3","2","22","23","15","0","37","2","2","1","2","2","2",".288","sa3007648"
"Sean Roby","- - -","19","45","163","186","47","33","8","1","5","29","23","17","0","36","3","3","0","5","0","1",".288","sa3007788"
"Nick Tanielu","- - -","25","105","392","426","113","81","22","1","9","56","59","28","2","50","2","3","1","11","3","2",".288","sa829082"
"Richy Pedroza","Mexican (AAA)","26","100","340","401","98","82","12","2","2","55","35","41","0","58","2","7","10","8","8","3",".288","sa621648"
"Kyle Farmer","Dodgers (AAA)","27","79","288","312","83","51","24","1","7","37","36","17","0","50","4","3","0","8","1","1",".288","14813"
"Tyler Frank","Rays (A-)","21","51","177","226","51","34","14","1","2","37","22","33","0","28","12","4","0","3","3","3",".288","sa3006660"
"Mike Siani","Reds (R)","18","46","184","205","53","42","6","3","2","24","13","16","0","35","3","2","0","0","6","4",".288","sa3008182"
"Cedric Mullins","- - -","23","108","441","485","127","79","29","8","11","76","46","37","1","66","3","2","2","2","21","1",".288","17929"
"Kody Clemens","- - -","22","52","191","220","55","36","12","2","5","24","20","23","1","39","2","3","1","3","4","1",".288","sa3008002"
"Ryan Lavarnway","Pirates (AAA)","30","77","264","303","76","43","23","1","9","29","33","29","0","57","8","0","2","3","0","0",".288","8879"
"Rafael Lantigua","- - -","20","56","198","237","57","44","10","2","1","35","26","33","2","40","5","0","1","5","8","5",".288","sa3003219"
"Jorge Flores","- - -","26","180","660","750","190","140","36","3","11","145","76","68","4","104","11","3","8","22","26","15",".288","sa550275"
"Alison Quintero","- - -","18","40","139","152","40","31","9","0","0","19","19","10","0","24","3","0","0","5","0","1",".288","sa3004266"
"Eduardo Salazar","- - -","17","42","139","160","40","36","3","1","0","21","12","17","1","37","0","3","1","5","2","2",".288","sa3005569"
"Johneshwy Fargas","Giants (A+)","23","89","278","315","80","61","9","2","8","47","32","21","0","49","9","3","4","3","47","16",".288","sa737941"
"Maxwell Morales","Rangers (R)","20","38","139","158","40","18","15","0","7","23","32","14","1","33","2","3","0","6","1","1",".288","sa917279"
"Jake McCarthy","- - -","20","58","219","253","63","39","17","4","3","34","22","23","0","41","9","2","0","0","21","8",".288","sa3007015"
"Cal Raleigh","Mariners (A-)","21","38","146","167","42","23","10","1","8","25","29","18","0","29","1","1","0","5","1","1",".288","sa3008377"
"Bryant Quijada","Rockies (R)","18","49","153","198","44","35","6","1","2","34","32","33","0","24","5","4","3","1","6","3",".288","sa3004882"
"Andres Martin","Royals (R)","21","45","153","172","44","36","2","5","1","23","21","16","0","34","1","1","1","5","10","1",".288","sa872737"
"Ricky Alvarez","- - -","29","96","386","404","111","58","30","1","22","52","77","5","1","82","10","3","0","17","4","1",".288","sa462415"
"John Andreoli","Mariners (AAA)","28","89","327","388","94","68","18","5","3","54","36","55","1","86","5","1","0","6","19","5",".287","13012"
"Ryan Grotjohn","- - -","23","90","334","375","96","60","22","6","8","58","54","28","0","64","6","7","0","4","6","6",".287","sa3003964"
"Freddy Francisco","Phillies (R)","17","46","167","185","48","34","11","3","0","24","18","16","2","26","1","1","0","3","10","1",".287","sa3005794"
"Xavier Fernandez","- - -","22","72","254","275","73","45","21","2","5","33","24","17","2","36","2","2","0","7","3","3",".287","sa737922"
"Kevin Santa","Mariners (A+)","23","98","348","384","100","81","13","4","2","57","32","25","0","38","6","1","4","10","11","6",".287","sa3004252"
"Erik Ostberg","Rays (A-)","22","51","174","200","50","33","13","2","2","25","30","22","1","44","2","2","0","2","1","1",".287","sa3004505"
"Jesus Baptista","Rockies (R)","19","53","181","210","52","45","6","1","0","26","21","22","0","25","3","0","4","6","16","4",".287","sa3003204"
"Tyler Ramirez","Athletics (AA)","23","134","512","594","147","98","35","4","10","73","79","62","0","148","10","8","2","9","5","4",".287","sa873260"
"Jonathan Aceves","- - -","40","35","108","130","31","21","7","0","3","18","13","18","0","28","1","1","2","3","0","0",".287","sa206467"
"Hunter Feduccia","- - -","21","34","108","131","31","25","6","0","0","8","10","18","2","32","2","2","1","6","1","0",".287","sa3007872"
"Mark Vientos","Mets (R)","18","60","223","262","64","41","12","0","11","32","52","37","0","43","1","1","0","10","1","0",".287","sa3004720"
"Jesus Caporal","Mexican (AAA)","24","47","122","135","35","34","0","1","0","18","14","5","0","24","0","1","7","4","0","2",".287","sa3005299"
"Gilberto Celestino","- - -","19","64","244","268","70","52","12","1","5","31","34","16","1","46","5","2","1","6","22","2",".287","sa914313"
"Kaleb Cowart","Angels (AAA)","26","64","258","279","74","45","20","3","6","36","45","18","0","52","1","2","0","4","8","1",".287","11494"
"Matt Kroon","- - -","21","42","136","165","39","32","4","1","2","24","10","27","0","42","1","1","0","2","6","4",".287","sa3007502"
"Tyler Webb","- - -","22","41","143","166","41","36","4","0","1","30","16","14","1","27","7","2","0","0","11","2",".287","sa3007001"
"Luke Persico","Athletics (A+)","22","112","429","482","123","81","32","5","5","58","60","44","0","78","2","6","1","14","5","5",".287","sa738678"
"Yojhan Quevedo","Orioles (A+)","24","38","150","157","43","30","9","0","4","16","18","4","0","17","2","1","0","4","0","0",".287","sa596365"
"Jordan Luplow","Pirates (AAA)","24","88","314","357","90","54","25","3","8","41","49","39","2","64","2","2","0","7","7","2",".287","16424"
"Jayce Easley","Rangers (R)","18","42","157","186","45","39","6","0","0","34","16","27","0","41","0","1","1","2","22","4",".287","sa3007057"
"Emilson Rosado","Pirates (R)","17","51","171","204","49","37","11","0","1","21","36","22","0","51","6","5","0","1","0","2",".287","sa3005543"
"Enrique Valdez","- - -","17","53","192","211","55","48","5","2","0","24","15","14","0","46","2","1","2","0","14","9",".286","sa3005568"
"Stephen Cardullo","Rockies (AAA)","30","73","199","226","57","37","13","4","3","34","30","17","0","42","1","6","1","6","3","0",".286","11204"
"Shane Peterson","Padres (AAA)","30","126","426","467","122","77","31","3","11","61","74","35","2","113","2","1","2","6","1","0",".286","7423"
"Yadiel Hernandez","- - -","30","124","433","492","124","87","18","1","18","62","68","56","5","106","1","1","1","15","4","2",".286","sa724030"
"Jarred Kelenic","- - -","18","56","220","251","63","41","10","6","6","42","42","26","0","50","4","1","0","1","15","1",".286","sa3007741"
"Dustin Ackley","Angels (AAA)","30","72","241","284","69","51","13","1","4","32","39","37","2","32","1","4","1","7","1","0",".286","10099"
"Stanley Espinal","Cardinals (A-)","21","64","241","269","69","48","9","4","8","34","41","19","1","47","6","3","0","9","1","1",".286","sa872852"
"Frank Schwindel","Royals (AAA)","26","134","510","556","146","83","38","1","24","65","93","34","1","71","7","5","0","16","2","2",".286","sa738182"
"Reed Rohlman","Royals (R)","23","67","262","305","75","43","23","3","6","59","56","38","0","57","4","1","0","3","3","1",".286","sa915632"
"Francisco Hernandez","Mexican (AAA)","23","88","269","301","77","59","11","3","4","34","32","21","1","55","5","2","4","3","5","2",".286","sa977120"
"Tim Locastro","- - -","25","89","318","379","91","61","23","3","4","64","29","31","0","52","28","1","1","7","19","3",".286","15124"
"Fernando Tatis Jr.","Padres (AA)","19","88","353","394","101","59","22","4","16","77","43","33","1","109","6","2","0","8","16","5",".286","sa919910"
"Oneil Cruz","Pirates (A)","19","103","402","443","115","69","25","7","14","66","59","34","2","100","3","4","0","7","11","5",".286","sa917318"
"Brock Lundquist","- - -","22","119","423","494","121","80","22","1","18","55","74","49","5","103","15","7","0","7","2","0",".286","sa3002834"
"Joantgel Segovia","- - -","21","112","430","484","123","101","16","3","3","45","34","37","1","71","6","2","9","14","14","6",".286","sa827979"
"Gio Urshela","- - -","26","62","224","240","64","46","14","2","2","27","24","13","0","31","1","1","1","6","0","0",".286","10681"
"Yefri Perez","Mexican (AAA)","27","50","217","243","62","43","13","2","4","46","26","18","3","60","1","1","6","1","16","4",".286","12090"
"Willy Adames","Rays (AAA)","22","64","245","278","70","52","9","5","4","36","34","27","2","66","1","5","0","6","3","3",".286","15986"
"Julio Francisco","- - -","20","46","175","190","50","36","9","4","1","29","13","12","0","19","3","0","0","2","14","4",".286","sa3002694"
"Fadriel Cruz","- - -","17","48","161","195","46","40","4","1","1","37","10","32","1","39","0","0","2","0","32","6",".286","sa3005476"
"Gunnar Schubert","- - -","22","47","154","169","44","31","11","2","0","16","11","14","0","48","1","0","0","3","2","2",".286","sa3007080"
"Elliot Soto","Rockies (AAA)","28","81","238","268","68","52","10","5","1","33","28","24","0","41","0","3","3","16","2","1",".286","sa390666"
"Aderlin Rodriguez","Orioles (AA)","26","128","483","531","138","93","20","2","23","76","92","29","2","95","11","8","0","18","1","1",".286","sa511026"
"Alfredo Reyes","- - -","24","101","315","376","90","76","10","0","4","51","30","50","2","102","2","1","8","3","35","4",".286","sa597093"
"Delvin Zinn","Cubs (A)","21","59","217","239","62","57","3","1","1","17","21","14","0","37","3","2","3","7","3","6",".286","sa875884"
"Juan Garcia","Rays (R)","19","45","161","185","46","36","7","1","2","27","29","10","0","33","2","4","8","3","7","7",".286","sa917106"
"Bo Bichette","Blue Jays (AA)","20","131","539","595","154","93","43","7","11","95","74","48","1","101","2","5","1","13","32","11",".286","sa917949"
"Alejandro Salazar","- - -","21","113","403","436","115","98","14","2","1","40","35","19","1","81","0","3","11","15","6","7",".285","sa827937"
"Yusniel Diaz","- - -","21","97","354","416","101","70","15","5","11","59","45","59","2","67","3","0","0","6","12","13",".285","sa912848"
"Brandon Macias","Mexican (AAA)","29","95","326","366","93","77","10","0","6","37","30","27","1","50","9","2","2","10","2","1",".285","sa545208"
"Mark Karaviotis","Diamondbacks (A+)","22","91","319","384","91","66","18","3","4","59","38","52","0","84","8","5","0","6","6","2",".285","sa738977"
"Sean Murphy","- - -","23","73","270","306","77","40","27","2","8","54","43","26","2","50","7","2","1","9","3","0",".285","sa873680"
"Jacob Stallings","Pirates (AAA)","28","68","256","278","73","47","22","1","3","37","40","15","0","51","5","2","0","7","1","2",".285","13723"
"Elier Hernandez","- - -","23","131","484","528","138","103","30","2","3","58","65","28","0","108","7","6","3","11","10","9",".285","sa659238"
"Chavez Young","Blue Jays (A)","20","125","470","537","134","84","33","9","8","88","57","58","2","100","2","4","0","8","44","13",".285","sa918963"
"Angel Rojas","Yankees (R)","17","55","214","247","61","37","10","9","5","41","30","30","0","60","2","1","0","4","15","11",".285","sa3005578"
"Alfonso Rivas","Athletics (A-)","21","61","214","257","61","43","16","1","1","33","28","36","0","44","5","2","0","1","7","4",".285","sa3007014"
"Daniel Jipping","Rockies (A-)","22","59","207","240","59","37","10","2","10","37","33","29","0","62","3","1","0","5","15","1",".285","sa3002868"
"Dario Pizzano","Mariners (AA)","27","107","400","454","114","80","20","3","11","43","59","47","1","55","3","4","0","11","2","1",".285","sa658253"
"Pedro Alvarez","Orioles (AAA)","31","43","165","178","47","33","6","0","8","21","32","11","1","42","1","1","0","6","0","0",".285","2495"
"Miles Mastrobuoni","- - -","22","103","330","393","94","76","14","3","1","53","39","55","1","66","0","2","6","5","9","9",".285","sa918318"
"George Bell","Giants (R)","20","45","158","180","45","40","4","1","0","22","20","16","0","39","1","4","1","4","9","1",".285","sa3007067"
"Korby Batesole","Red Sox (A-)","22","46","151","169","43","39","3","1","0","19","11","15","1","40","1","0","2","2","5","5",".285","sa3006847"
"Nick Roscetti","- - -","24","86","281","312","80","68","10","2","0","28","29","24","2","57","2","3","2","5","7","4",".285","sa918590"
"Leugim Castillo","Brewers (R)","18","65","260","271","74","59","5","5","5","28","39","8","0","61","1","1","1","7","5","7",".285","sa3005128"
"William Contreras","- - -","20","105","390","432","111","75","24","1","11","57","49","35","0","89","4","3","0","8","1","1",".285","sa872847"
"Bryan Torres","- - -","20","39","130","141","37","29","6","1","1","15","18","8","0","17","0","0","3","4","4","6",".285","sa885119"
"Cody Thomas","Dodgers (A+)","23","127","499","558","142","81","35","7","19","82","87","48","1","163","8","3","0","7","5","2",".285","sa738459"
"Christian Williams","Blue Jays (A)","23","32","123","135","35","21","10","0","4","19","18","10","0","34","1","1","0","3","0","0",".285","sa829560"
"Peter Alonso","- - -","23","132","478","574","136","68","31","1","36","92","119","76","3","128","15","5","0","9","0","3",".285","sa873981"
"Charlie McConnell","Mariners (A-)","22","65","225","244","64","54","5","1","4","32","24","13","1","36","1","3","2","5","11","4",".284","sa3006716"
"Michael Perez","Diamondbacks (AAA)","25","58","218","240","62","46","9","1","6","30","29","20","0","40","0","2","0","4","0","1",".284","12977"
"Agustin Ruiz","- - -","18","59","218","251","62","37","14","10","1","42","31","29","0","76","3","1","0","5","2","3",".284","sa3004149"
"Luke Miller","Phillies (R)","21","32","109","126","31","24","5","0","2","17","21","17","0","18","0","0","0","4","1","0",".284","sa3006879"
"Matt Beaty","- - -","25","34","109","128","31","20","10","0","1","13","14","12","1","17","5","1","1","2","0","0",".284","sa602895"
"Mike Miller","Red Sox (AAA)","28","102","320","361","91","75","12","0","4","42","31","30","0","53","3","5","3","8","10","5",".284","13891"
"Drew Avans","- - -","22","60","211","255","60","39","6","5","10","46","51","35","0","43","3","5","1","1","20","5",".284","sa3006937"
"Pablo Reyes","- - -","24","122","401","447","114","79","23","4","8","55","41","32","1","76","2","4","8","9","16","7",".284","16357"
"TJ Friedl","- - -","22","131","489","570","139","107","20","7","5","87","51","66","2","100","12","2","1","0","30","9",".284","sa943754"
"Anderson Hernandez","- - -","35","78","278","310","79","62","11","3","3","41","33","26","3","35","0","2","3","8","7","2",".284","3366"
"Fidel Castro","- - -","19","52","176","214","50","24","14","8","4","30","27","33","0","64","5","0","0","1","4","3",".284","sa3003175"
"Tommy Joseph","- - -","26","91","345","388","98","54","23","0","21","49","70","30","1","82","8","5","0","5","0","0",".284","10349"
"Braden Bishop","Mariners (AA)","24","84","345","394","98","70","20","0","8","70","33","37","0","68","6","3","3","10","5","2",".284","sa659045"
"Justin Dean","- - -","21","60","243","281","69","49","10","9","1","48","23","33","0","59","5","0","0","4","16","9",".284","sa3007070"
"Ronaldo Hernandez","Rays (A)","20","109","405","449","115","73","20","1","21","68","79","31","1","69","6","7","0","11","10","4",".284","sa881850"
"Mickey McDonald","Athletics (A)","23","110","391","442","111","91","15","3","2","59","25","41","2","76","3","0","7","5","22","0",".284","sa3004173"
"Warling Vicente","- - -","19","64","229","266","65","53","8","4","0","46","19","25","2","63","8","2","2","1","19","10",".284","sa3003277"
"Carlos De La Cruz","Phillies (R)","18","43","148","165","42","28","8","0","6","20","21","11","0","56","4","2","0","2","2","1",".284","sa3006903"
"Devin Davis","Rays (A)","21","96","342","385","97","74","17","0","6","31","47","30","0","67","7","5","1","5","1","1",".284","sa875805"
"Ivan Araujo","- - -","34","134","409","458","116","89","16","2","9","56","44","29","0","79","7","5","8","8","9","2",".284","sa509253"
"Jordan Gore","- - -","23","104","335","386","95","75","13","4","3","55","40","42","0","73","2","3","4","6","6","3",".284","sa3004127"
"Jake Hager","- - -","25","97","335","380","95","56","26","2","11","46","51","33","1","61","4","7","1","14","8","3",".284","sa600840"
"Willie MacIver","Rockies (A-)","21","54","194","218","55","37","10","3","5","25","30","18","1","44","5","1","0","2","4","6",".284","sa3007828"
"Daniel Aguilar","Indians (R)","17","42","127","161","36","27","6","3","0","27","12","28","0","36","1","2","3","3","8","7",".283","sa3006227"
"Domingo Santana","Brewers (AAA)","25","55","187","227","53","33","10","2","8","30","35","36","1","75","2","2","0","5","2","0",".283","10348"
"Dustin Martin","Mexican (AAA)","34","103","367","459","104","80","12","4","8","71","67","81","2","82","5","4","2","5","19","6",".283","sa328277"
"Nolan Jones","- - -","20","120","427","519","121","81","21","0","19","69","66","89","1","131","0","3","0","7","2","1",".283","sa917941"
"Rayvi Rodriguez","Pirates (R)","20","59","173","194","49","40","5","4","0","32","23","12","0","23","5","1","3","3","6","5",".283","sa3003363"
"Alex De Goti","- - -","23","125","452","495","128","84","29","3","12","57","62","28","0","80","9","4","2","16","8","7",".283","sa919320"
"Kyle Marinconz","- - -","22","47","166","184","47","39","5","2","1","20","19","18","0","45","0","0","0","2","5","1",".283","sa3007638"
"Isidro Pina","Mexican (AAA)","29","73","219","244","62","57","5","0","0","23","28","12","1","34","3","1","9","8","1","0",".283","sa509466"
"Estevan Florial","- - -","20","84","325","374","92","63","19","4","6","55","35","48","2","92","1","0","0","3","16","10",".283","sa874464"
"Abiatal Avelino","- - -","23","126","477","514","135","99","13","8","15","67","67","32","1","101","1","1","3","11","27","6",".283","15496"
"Kristopher Negron","Diamondbacks (AAA)","32","118","371","425","105","68","17","5","15","71","45","43","0","121","8","2","1","9","10","3",".283","5306"
"Kyle Mottice","Pirates (R)","22","35","106","148","30","26","3","1","0","26","9","24","0","12","14","0","4","1","16","0",".283","sa3007655"
"Brice Turang","- - -","18","42","159","192","45","37","6","1","1","37","18","31","0","34","0","2","0","1","14","2",".283","sa3008294"
"Esteban Quiroz","- - -","26","32","106","133","30","17","5","1","7","22","31","19","1","22","5","3","0","0","1","1",".283","sa596560"
"Andy Ibanez","Rangers (AAA)","25","125","463","515","131","97","21","1","12","62","55","40","0","74","5","4","3","7","1","6",".283","sa914201"
"Seth Brown","Athletics (AA)","25","131","502","555","142","87","38","3","14","66","90","47","1","142","1","5","0","10","5","0",".283","sa875797"
"Diomedes Del Rio","- - -","20","57","191","230","54","27","11","13","3","50","34","31","0","46","1","4","3","2","9","5",".283","sa921439"
"Jacob Rhinesmith","Nationals (A-)","22","63","237","268","67","50","12","4","1","39","32","27","1","40","2","2","0","7","6","0",".283","sa3006729"
"Rob Refsnyder","Rays (AAA)","27","51","184","208","52","38","10","0","4","31","15","18","1","46","4","1","0","4","0","0",".283","13770"
"Ray Hernandez","Braves (R)","21","38","138","154","39","22","11","1","5","21","25","15","1","30","1","0","0","4","1","0",".283","sa3006904"
"Lean Marrero","Twins (R)","20","51","184","206","52","42","7","1","2","32","17","15","0","36","4","0","3","4","8","5",".283","sa875650"
"Jose Guzman","Angels (R)","17","44","131","154","37","27","4","5","1","20","7","21","0","32","2","0","0","2","6","3",".282","sa3005601"
"Nick Solak","Rays (AA)","23","126","478","565","135","96","17","3","19","91","76","68","0","112","14","5","0","6","21","6",".282","sa874054"
"Troy Montgomery","- - -","23","103","340","406","96","75","16","3","2","46","33","59","1","88","1","4","2","3","14","8",".282","sa918108"
"Jesus Sanchez","- - -","20","117","457","488","129","84","32","2","11","70","75","26","2","92","3","2","0","9","7","4",".282","sa872787"
"Julian Ornelas","Mexican (AAA)","21","58","163","185","46","38","5","0","3","27","25","16","0","46","2","2","2","5","10","2",".282","sa3002601"
"Alberto Figuereo","Rays (R)","18","64","234","281","66","52","8","6","0","49","25","32","1","38","9","4","2","0","36","3",".282","sa3005583"
"Leonel Valera","- - -","18","45","156","174","44","36","5","2","1","23","13","16","0","51","1","1","0","2","13","1",".282","sa917320"
"Josh Prince","- - -","30","104","305","361","86","62","16","2","6","36","37","52","0","83","1","3","0","5","12","4",".282","6746"
"Wagner Lagrange","Mets (A-)","22","62","227","258","64","49","13","2","0","31","32","22","0","43","6","3","0","9","9","3",".282","sa875875"
"Zach McKinstry","- - -","23","76","227","273","64","42","11","4","7","39","24","37","0","59","9","0","0","4","2","1",".282","sa918920"
"Jesus Loya","Mexican (AAA)","26","58","188","206","53","40","10","3","0","37","22","11","2","40","0","3","4","1","3","1",".282","sa548065"
"Andres Melendez","- - -","17","44","149","175","42","32","6","3","1","22","19","17","0","18","4","4","1","3","4","2",".282","sa3005523"
"Luis Tejada","Reds (R)","18","41","149","175","42","31","8","1","2","29","16","16","0","41","10","0","0","4","6","2",".282","sa3006190"
"Luis Valenzuela","Braves (AA)","24","114","369","386","104","78","22","2","2","42","42","13","2","66","1","2","1","9","5","1",".282","sa658081"
"Micker Adolfo","White Sox (A+)","21","79","291","336","82","52","18","1","11","48","50","34","0","92","8","3","0","3","2","1",".282","sa830303"
"Peter Mooney","- - -","27","79","252","290","71","55","8","2","6","25","35","27","1","36","4","3","4","4","3","3",".282","sa503239"
"Joey Curletta","Mariners (AA)","24","129","465","556","131","84","24","0","23","70","94","81","6","130","1","9","0","7","1","1",".282","sa658025"
"Steward Berroa","Blue Jays (R)","19","39","142","167","40","30","9","1","0","30","11","23","0","36","1","0","1","1","17","6",".282","sa3003276"
"Jonathan Davis","- - -","26","124","490","560","138","94","29","5","10","94","56","47","0","94","15","5","3","7","26","4",".282","15104"
"David Villar","- - -","21","62","245","272","69","33","23","0","13","39","47","20","0","72","4","3","0","4","0","0",".282","sa3007063"
"Kean Wong","Rays (AAA)","23","116","451","502","127","92","23","3","9","65","50","40","3","112","5","3","3","8","7","3",".282","sa737841"
